FID;Kod_region;Region;Kod_distri;District;Kod_munici;Municipal;Kod_part_o;Part_ofmun;Kod_local;Local_part;Day;Month;Year;Time fire H;Alarm_leve;Type_of_bu;x;y;Surface;Ownership;Initiator;Popis;slope;elevation;aspect;dist_road;distanc_ri;relativ_hu;Code_lanco;pop_densit;temperatur;wind_speed;Risk_AHP;Risk_fu_AH
4803;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;644811;Horská Kamenice;0; ;2;8;2014;16.48944444;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-672786;-990562;1;soukromé a osobní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;19.7647;363.213013;154.731995;0;0;91.599899;313;113.249001;16.41290092;2.996939898;4;3
4804;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;644811;Horská Kamenice;0; ;22;10;2013;21.96361111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-672212;-990501;1;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;12.2249;339.934998;193.091003;0;11.9057;91.704597;313;117.339996;8.130000114;4.32528019;4;3
4805;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;796140;Hrubá Horka;0; ;19;4;2007;16.95694444;I.;lesní těžba (625);-674574;-989112;2;soukromé a osobní vlastnictví;jiné;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;8.28166;419.622009;193.362;0;867.271973;91.375099;312;215.882996;7.043029785;3.953429937;5;4
4806;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;660761;Jirkov;0; ;11;8;2015;10.35694444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-673926;-987504;0;soukromé a osobní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;6.17211;594.257996;225.126007;0;1308.930054;91.587997;312;219.341003;15.63850021;3.561549902;4;4
4807;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;0;Splzov;0; ;17;10;2012;17.23277778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-678498;-987551;0; ;dále nedošetřovaný iniciátor; ;8.03894;340.946014;142.279007;0;251.632004;90.783302;243;219.341003;8.008110046;4.583240032;5;4
4808;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;0;Těpeře;0; ;5;4;2011;20.30805556;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-676176;-988012;0; ;dále nedošetřovaný iniciátor; ;4.44989;430.058014;169.554001;0;735.22699;91.161903;324;219.341003;6.809430122;4.093719959;5;5
4809;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;0;Těpeře;0; ;12;5;2013;22.72527778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623). trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-675690;-988093;0;soukromé a osobní vlastnictví.státní vlastnictví;dále nedošetřovaný iniciátor; ;15.4964;397.803986;179.126999;0;249.227005;91.242203;324;219.341003;11.95740032;3.576380014;5;5
4810;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;0;Těpeře;0; ;10;9;2014;14.92138889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-675464;-986621;0; ;dále nedošetřovaný iniciátor;nezjištěno;6.79289;437.063995;105.690002;0;460.938995;91.372902;312;219.341003;12.38189983;3.618010044;5;5
4813;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;796221;Železný Brod;0; ;27;7;2015;22.21444444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-676037;-988807;0;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;15.9088;399.70401;125.116997;0;299.110992;91.137001;243;219.341003;16.77300072;3.132550001;5;5
4814;CZ051;Liberecký kraj;CZ0512;Jablonec Nad Nisou;563871;Železný Brod;796221;Železný Brod;0; ;16;9;2014;8.194166667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-675346;-988001;0;obecní majetek;dále nedošetřovaný iniciátor; ;10.8166;383.276001;288.488007;0;94.772598;91.308197;312;219.341003;12.51080036;3.502470016;5;5
4816;CZ051;Liberecký kraj;CZ0513;Liberec;563901;Bílá;603911;Bílá;0; ;28;4;2012;15.17944444;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-692310;-986147;3;soukromé a osobní vlastnictví;dále nedošetřovaný iniciátor; ;6.18005;396.802002;269.014008;0;9245.240234;88.671997;312;171.667007;6.94122982;3.958770037;5;5
4817;CZ051;Liberecký kraj;CZ0513;Liberec;563901;Bílá;783625;Vlčetín;0; ;14;4;2007;17.51583333;I.;les vysokokmenný - smíšený (622);-702552;-1144439;3;soukromé a osobní vlastnictví;jiskra z popela včetně jiskry při plnění vložek pilin.kamen;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;5.27905;543.56897;301.799011;0;7761.890137;87.028603;243;55.484299;7.032599926;3.101989985;4;3
4818;CZ051;Liberecký kraj;CZ0513;Liberec;563901;Bílá;783625;Vlčetín;0; ;21;5;2011;14.38083333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-691229;-982622;1;obecní majetek;dále nedošetřovaný iniciátor; ;10.101;430.625;182.940002;0;6418.859863;89.0103;243;171.667007;12.03339958;3.622370005;5;5
4819;CZ051;Liberecký kraj;CZ0513;Liberec;563919;Bílý Kostel Nad Nisou;0;Bílý Kostel Nad Nisou;0; ;28;4;2007;15.85527778;I.;les vysokokmenný - smíšený (622);-697726;-967520;2;státní vlastnictví;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;9.14995;334.368011;17.359301;0;233.389999;89.169899;211;171.667007;6.903279781;3.966700077;4;4
4820;CZ051;Liberecký kraj;CZ0513;Liberec;563919;Bílý Kostel Nad Nisou;604623;Bílý Kostel Nad Nisou;0; ;1;5;2007;14.56722222;I.;les vysokokmenný - smíšený (622);-697922;-967453;1;soukromé a osobní vlastnictví;neobjasněný iniciátor;nezjištěno;6.11499;333.584015;254.572998;0;166.483994;89.144897;211;171.667007;12.2517004;3.526040077;4;4
4821;CZ051;Liberecký kraj;CZ0513;Liberec;563919;Bílý Kostel Nad Nisou;0;Pekařka;0; ;24;5;2011;20.08388889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-696618;-965690;0;soukromé a osobní vlastnictví;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;2.78167;316.343994;161.037003;298;433.240997;89.065102;243;171.667007;12.49769974;3.402070045;5;4
4822;CZ051;Liberecký kraj;CZ0513;Liberec;563935;Bulovka;600431;Arnoltice;0; ;20;3;2014;10.145;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-682398;-952943;2; ;dále nedošetřovaný iniciátor;nezjištěno;1.24299;290.040009;312.872986;11;4056.540039;88.800102;243;171.667007;3.387799978;4.412199974;4;4
4823;CZ051;Liberecký kraj;CZ0513;Liberec;563935;Bulovka;600431;Arnoltice;0; ;22;3;2014;17.81611111;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-681927;-952388;2; ;dále nedošetřovaný iniciátor; ;2.46205;325.453003;263.951996;513;4761.75;88.777199;231;171.667007;3.331500053;4.468500137;4;3
4824;CZ051;Liberecký kraj;CZ0513;Liberec;563935;Bulovka;600431;Arnoltice;0; ;31;5;2015;11.90694444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-683750;-954375;0;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;2.35995;328.75;119.452003;622;2441.290039;88.834602;312;171.667007;12.45460033;3.422440052;4;3
4825;CZ051;Liberecký kraj;CZ0513;Liberec;563935;Bulovka;616184;Bulovka;0; ;1;3;2014;14.75055556;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-681113;-952628;0; ;dále nedošetřovaný iniciátor; ;3.21035;311.868988;160.453995;139;4882.27002;88.928596;243;171.667007;3.234200001;4.5;4;3
4826;CZ051;Liberecký kraj;CZ0513;Liberec;563960;Český Dub;697818;Starý Dub;0; ;26;3;2010;16.12666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-694137;-983713;0;soukromé a osobní vlastnictví;dále nedošetřovaný iniciátor; ;3.34575;341.980011;97.831703;0;9234.169922;88.645897;112;171.667007;3.200409889;4.304299831;4;4
4828;CZ051;Liberecký kraj;CZ0513;Liberec;564117;Chrastava;0;Chrastava;0; ;22;3;2012;13.65666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-693536;-968422;0; ;dále nedošetřovaný iniciátor; ;4.32028;326.417999;27.5333;0;506.209015;89.666199;243;171.667007;3.286910057;4.388599873;4;4
4829;CZ051;Liberecký kraj;CZ0513;Liberec;564117;Chrastava;0;Chrastava;0; ;17;6;2014;10.02861111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-693620;-970059;0; ;dále nedošetřovaný iniciátor; ;6.76582;492.895996;228.326996;0;268.170013;89.592499;312;171.667007;14.53750038;3.649410009;4;4
4831;CZ051;Liberecký kraj;CZ0513;Liberec;530468;Dlouhý Most;626660;Dlouhý Most;0; ;21;4;2013;16.9375;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-687779;-979778;1; ;dále nedošetřovaný iniciátor; ;5.49586;474.509003;115.695;0;2220.360107;89.652298;112;171.667007;6.561570168;4.238430023;5;5
4832;CZ051;Liberecký kraj;CZ0513;Liberec;530468;Dlouhý Most;626660;Dlouhý Most;0; ;25;7;2013;13.39083333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-688096;-982193;0; ;dále nedošetřovaný iniciátor; ;4.59133;641.705994;176.835999;430;4519.259766;89.442802;231;171.667007;15.76799965;3.88338995;4;4
4833;CZ051;Liberecký kraj;CZ0513;Liberec;563994;Dolní Řasnice;0; ;0; ;7;10;2014;14.33666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-679034;-955929;0; ;dále nedošetřovaný iniciátor; ;1.53829;364.73999;325.556;0;4662.669922;89.764397;211;171.667007;8.458979607;4.704460144;4;4
4834;CZ051;Liberecký kraj;CZ0513;Liberec;564028;Frýdlant;635090;Frýdlant;0; ;5;4;2015;17.38472222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-683810;-957418;1;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;4.90497;310.152008;269.667999;0;0;89.300003;142;171.667007;7.293640137;3.857759953;4;3
4835;CZ051;Liberecký kraj;CZ0513;Liberec;564028;Frýdlant;635090;Frýdlant;0; ;17;7;2006;16.89277778;I.;les vysokokmenný - smíšený (622);-684744;-958045;2;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;3.81229;375.473999;25.760599;0;65.542603;89.257401;231;171.667007;16.74760056;3.279089928;4;4
4837;CZ051;Liberecký kraj;CZ0513;Liberec;564044;Hejnice;638196;Hejnice;0; ;3;1;2012;17.80777778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-677919;-963253;0; ;dále nedošetřovaný iniciátor; ;2.49691;379.470001;144.320999;0;6649.919922;91.1577;112;171.667007;-2.01293993;5.068500042;4;4
4838;CZ051;Liberecký kraj;CZ0513;Liberec;564052;Hlavice;638978;Hlavice;0; ;26;7;2006;22.50333333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-698789;-987719;1;státní vlastnictví;neobjasněný iniciátor;nezjištěno;5.81557;377.68399;208.447998;403;8304.05957;87.906898;243;171.667007;16.78409958;3.232409954;4;4
4839;CZ051;Liberecký kraj;CZ0513;Liberec;564061;Hodkovice Nad Mohelkou;0; ;0; ;28;4;2007;19.995;I.;les vysokokmenný - smíšený (622);-686627;-985893;2;státní vlastnictví;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;8.72506;395.571991;229.824997;0;6577.589844;89.463501;231;186.050003;7.105289936;3.806699991;5;4
4840;CZ051;Liberecký kraj;CZ0513;Liberec;564061;Hodkovice Nad Mohelkou;0;Hodkovice Nad Mohelkou;0; ;8;6;2012;16.21694444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-686944;-987559;0; ;dále nedošetřovaný iniciátor; ;2.54487;339.04599;94.436897;0;6164.52002;89.301804;243;177.160004;14.91569996;3.388010025;5;5
4841;CZ051;Liberecký kraj;CZ0513;Liberec;564061;Hodkovice Nad Mohelkou;0;Hodkovice Nad Mohelkou;0; ;21;8;2013;16.0875;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-685676;-985528;1; ;dále nedošetřovaný iniciátor; ;9.56745;428.002991;203.576004;0;5836.97998;89.653198;313;212.718994;16.4993;3.063689947;5;5
4843;CZ051;Liberecký kraj;CZ0513;Liberec;564061;Hodkovice Nad Mohelkou;640361;Záskalí;0; ;16;11;2014;21.83833333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-686440;-982715;0;obecní majetek;svíčka; ;9.1579;537.434998;89.920898;0;3918.840088;89.698502;231;191.294006;2.243530035;5.074960232;4;3
4844;CZ051;Liberecký kraj;CZ0513;Liberec;564079;Horní Řasnice;643998;Horní Řasnice;0; ;9;8;2015;10.51972222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-677276;-952072;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;5.60059;479.174011;82.033501;1604;7904.339844;89.367302;312;171.667007;16.06959915;3.452980042;4;4
4845;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;0; ;0; ;21;3;2011;17.76666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-701664;-962657;0;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor; ;3.31146;256.230011;229.727005;0;12.9066;88.369202;112;171.667007;3.788000107;4.105999947;4;3
4848;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;647365;Dolní Sedlo;0; ;22;4;2007;15.72972222;I.;les vysokokmenný - jehličnany (620);-703868;-966190;0;státní vlastnictví;neobjasněný iniciátor;nezjištěno;4.95547;440.382996;262.151001;0;3105.110107;88.501099;312;171.667007;6.41590023;4.357659817;5;5
4850;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;647365;Dolní Sedlo;0; ;20;10;2015;17.25055556;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-703754;-965268;0;státní vlastnictví;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;7.65424;455.799988;102.776001;0;2563.820068;88.4356;312;171.667007;7.988649845;5.013390064;5;5
4851;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;637777;Dolní Suchá;0; ;1;8;2015;23.15888889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-701508;-967805;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;4.92326;507.674988;250.681;0;2411.72998;88.850601;312;171.667007;16.34880066;3.314169884;5;5
4852;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;0;Horní Sedlo;0; ;22;7;2015;12.20194444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-702639;-966943;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;6.23926;466.618011;149.516998;0;2609.919922;88.671402;312;171.667007;16.33399963;3.558759928;4;3
4853;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;0;Hrádek Nad Nisou;0; ;22;3;2010;16.77138889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-701664;-962657;0; ;dále nedošetřovaný iniciátor; ;3.31146;256.230011;229.727005;0;12.9066;88.369202;112;171.667007;3.788000107;4.105999947;4;3
4855;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;0;Hrádek Nad Nisou;0; ;8;4;2010;13.73333333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-701664;-962657;1; ;dále nedošetřovaný iniciátor; ;3.31146;256.230011;229.727005;0;12.9066;88.369202;112;171.667007;7.688000202;3.605999947;4;3
4856;CZ051;Liberecký kraj;CZ0513;Liberec;564095;Hrádek Nad Nisou;0;Hrádek Nad Nisou;0; ;22;4;2011;13.58333333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-701325;-962501;0;obecní majetek;dále nedošetřovaný iniciátor; ;2.37574;273.122009;263.173004;0;132.132004;88.3787;121;171.667007;7.617060184;3.641469955;4;3
4858;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0; ;0; ;2;4;2014;20.02027778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-706547;-972671;0;obecní majetek;dále nedošetřovaný iniciátor; ;3.60417;394.036011;69.818703;72;9366.610352;88.1614;312;153.214005;7.050300121;3.949700117;5;5
4859;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0; ;0; ;14;4;2013;14.43194444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-707946;-970531;0;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor; ;1.34061;335.13501;139.139008;0;8253.519531;88.175003;243;171.667007;7.331880093;3.799999952;4;3
4860;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0; ;0; ;23;4;2014;15.87222222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-709074;-968499;0;státní vlastnictví;dále nedošetřovaný iniciátor; ;4.08044;362.464996;93.7967;0;6384.669922;88.190903;211;171.667007;7.092319965;3.966300011;5;5
4861;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0; ;0; ;10;6;2014;17.55333333;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-707090;-968531;3;státní vlastnictví;dále nedošetřovaný iniciátor; ;2.23471;356.35199;272.891998;212;6944.379883;88.382698;231;171.667007;15.12950039;3.485249996;4;3
4862;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;11;3;2014;11.69;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-710378;-965900;2;státní vlastnictví;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;7.26656;471.299988;183.119003;0;4617.330078;87.928802;312;171.667007;2.769099951;4.946489811;5;5
4863;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;3;5;2015;16.88722222;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-712170;-968286;2;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;14.6062;628.015991;118.569;1165;3591.320068;87.885399;311;115.402;11.69110012;4.016580105;4;4
4864;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;31;5;2015;19.17833333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-710201;-965492;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;17.622601;542.169006;155.216995;0;4794.330078;87.921799;312;171.667007;11.5941;4.054419994;5;5
4865;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;21;6;2013;17.28333333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-708573;-967990;1;státní vlastnictví;dále nedošetřovaný iniciátor; ;11.5866;390.226013;214.712997;0;6610.759766;88.207901;312;171.667007;14.98690033;3.585930109;5;5
4866;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;12;6;2015;14.21972222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-710043;-966994;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;2.72332;395.203003;169.229004;0;5054.140137;88.016502;312;171.667007;14.83059978;3.665790081;5;4
4867;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;11;6;2015;15.28527778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-711469;-965617;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;13.4714;462.054993;215.761002;0;3526.330078;87.823196;312;147.464996;14.5170002;3.870919943;5;5
4868;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0; ;7;7;2015;19.83777778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-709240;-966827;1;nezjištěno nebo jiný druh. nelze specifikovat;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;12.0304;517.872009;274.661011;0;5825.919922;88.0783;312;171.667007;16.30620003;3.693840027;5;4
4869;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Heřmanice V Podještědí;0;Kněžice;13;3;2014;17.7325;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-708326;-967563;3;státní vlastnictví;dále nedošetřovaný iniciátor; ;6.7303;386.134003;63.6063;0;6563.959961;88.204597;312;171.667007;2.920480013;4.78234005;5;5
4870;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;0;Kněžice;0; ;10;3;2015;15.54388889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-707181;-968014;2;soukromé a osobní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;3.03254;371.470001;189.057007;223;6603.939941;88.339401;231;171.667007;3.189529896;4.536369801;5;5
4871;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;689475;Lvová;0; ;1;4;2014;16.41444444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-706544;-970818;0; ;dále nedošetřovaný iniciátor; ;2.91806;363.234009;234.279999;288;8050.439941;88.290703;312;171.667007;7.171209812;3.902829885;4;4
4872;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;689475;Lvová;0; ;17;6;2014;17.26444444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-706366;-970586;0;státní vlastnictví;dále nedošetřovaný iniciátor; ;5.8962;357.502014;229.445007;135;7768.189941;88.324097;312;171.667007;15.16959953;3.4911201;4;4
4873;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;689475;Lvová;0; ;29;7;2013;17.16833333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-708813;-971531;0;státní vlastnictví;dále nedošetřovaný iniciátor; ;2.59679;323.049988;193.733002;0;8232.019531;88.020699;112;171.667007;17.19610023;3.103879929;4;3
4874;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;689475;Lvová;0; ;3;8;2014;11.4875;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-706280;-970474;0;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor; ;2.75175;376.963989;172.748001;36;7630.52002;88.340202;312;171.667007;16.81279945;3.069780111;4;3
4875;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Jablonné V Podještědí;689475;Lvová;0; ;6;8;2015;17.76444444;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-706720;-970338;2;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;7.8995;334.864014;309.881012;0;7841.330078;88.307098;312;171.667007;16.84420013;3.053519964;5;5
4876;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Janovice V Podještědí;0;Janovice V Podještědí;0; ;20;5;2014;16.01638889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-704099;-972608;0;státní vlastnictví;dále nedošetřovaný iniciátor; ;3.34343;356.391998;175.542999;0;7596.569824;88.404297;243;171.667007;12.36600018;3.5;5;5
4877;CZ051;Liberecký kraj;CZ0513;Liberec;561631;Janovice V Podještědí;0;Janovice V Podještědí;0; ;3;7;2015;19.16388889;II.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-703168;-972323;3;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;4.56062;387.367004;218.987;0;6744.970215;88.514603;312;171.667007;16.69729996;3.309210062;5;5
4878;CZ051;Liberecký kraj;CZ0513;Liberec;530484;Jeřmanice;658588;Jeřmanice;0; ;4;10;2015;16.2175;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-687467;-982026;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;15.3907;586.421997;37.321701;0;4075.179932;89.563202;312;171.667007;7.557620049;5.386710167;4;3
4879;CZ051;Liberecký kraj;CZ0513;Liberec;564133;Jindřichovice Pod Smrkem;0; ;0; ;23;6;2008;17.58416667;I.;les vysokokmenný - smíšený (622);-671935;-954417;2;akciové vlastnictví. spol.s.r.o..v.o.s. ap.;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.74228;379.970001;298.092987;0;9450.459961;90.526299;112;171.667007;14.69909954;3.618720055;4;3
4880;CZ051;Liberecký kraj;CZ0513;Liberec;564133;Jindřichovice Pod Smrkem;0;Jindřichovice Pod Smrkem;0; ;25;3;2012;17.17416667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-672176;-954747;1;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor; ;2.53948;387.179993;30.923401;0;9166.900391;90.5513;231;171.667007;2.716789961;4.852590084;4;3
4881;CZ051;Liberecký kraj;CZ0513;Liberec;564133;Jindřichovice Pod Smrkem;660515;Jindřichovice Pod Smrkem;0; ;29;6;2006;20.02944444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-672033;-954837;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;3.65023;394.944;311.171997;0;9051.110352;90.587997;313;171.667007;14.59879971;3.649689913;4;3
4882;CZ051;Liberecký kraj;CZ0513;Liberec;564184;Křižany;796697;Žibřidice;0; ;12;6;2006;20.01611111;I.;les vysokokmenný - jehličnany (620);-702424;-974863;1;státní vlastnictví;neobjasněný iniciátor;nezjištěno;3.76527;351.653992;221.695999;0;8257.290039;88.413498;112;171.667007;15.04710007;3.428730011;4;4
